,0
0,台北市南港區中坡南路47號1樓
1,台北市南港區研究院路二段128號1樓(學術活動中心)
2,台北市南港區經貿二路186號2樓
3,台北市南港區西新里南港路三段3號1樓
4,台北市南港區玉成街150號1樓
5,台北市南港區向陽路166號1樓
6,台北市南港區研究院路二段152號
7,台北市南港區南港路一段303號305號307號1樓
8,台北市南港區忠孝東路六段465號1樓
9,台北市南港區忠孝東路六段448號
10,台北市南港區東新街80巷1號
11,台北市南港區研究院路二段14號
12,台北市南港區研究院路二段94號96號98巷1號
13,台北市南港區重陽路179號181號1樓
14,台北市南港區南港路一段167號1樓
15,台北市南港區八德路四段778號780號
16,台北市南港區忠孝東路七段359號1樓
17,台北市南港區南港路一段313號B2
18,台北市南港區經貿二路1號
19,台北市南港區經貿二路2號B1樓
20,台北市南港區玉成街69號1樓
21,台北市南港區福德街373巷25號
22,台北市南港區興華路119號121號123號125號
23,台北市南港區忠孝東路七段371號B2
24,台北市南港區忠孝東路七段369號2樓
25,台北市南港區研究院路三段72號74號1樓
26,台北市南港區忠孝東路六段276號
27,台北市南港區重陽路164號
28,台北市南港區成福路145號147號
29,台北市南港區三重路19號1樓
30,台北市南港區聯成里昆陽街150-1號150-3號
31,台北市南港區東新街118巷1號
32,台北市南港區三重路23號1樓
33,台北市南港區南港路三段49-1號
34,台北市南港區研究院路一段99號1樓之14
35,台北市南港區經貿二路168號4樓
