Tract,Total poupulation(thousands),Median school years,Total employment(thousands),Health services employment(hundreds),"Median value home($10,000s)"
1,5.935,14.2,2.265,2.27,2.91
2,1.523,13.1,0.597,0.75,2.62
3,2.599,12.7,1.237,1.11,1.72
4,4.009,15.2,1.649,0.81,3.02
5,4.687,14.7,2.312,2.5,2.22
6,8.044,15.6,3.641,4.51,2.36
7,2.766,13.3,1.244,1.03,1.97
8,6.538,17,2.618,2.39,1.85
9,6.451,12.9,3.147,5.52,2.01
10,3.314,12.2,1.606,2.18,1.82
11,3.777,13,2.119,2.83,1.8
12,1.53,13.8,0.798,0.84,4.25
13,2.768,13.6,1.336,1.75,2.64
14,6.585,14.9,2.763,1.91,3.17
